,Unnamed: 0,省,省确诊,省治愈,省死亡,市,新增确诊,新增治愈,新增死亡,确诊,治愈,死亡,日期
273,0.0,北京市,41,2,0,朝阳,1,0,0,6,0,0,2020-01-25
274,0.0,北京市,41,2,0,西城,0,0,0,4,0,0,2020-01-25
275,0.0,北京市,41,2,0,昌平,0,0,0,3,0,0,2020-01-25
276,0.0,北京市,41,2,0,通州,1,0,0,3,0,0,2020-01-25
277,0.0,北京市,41,2,0,大兴,0,1,0,2,2,0,2020-01-25
278,0.0,北京市,41,2,0,丰台,0,0,0,2,0,0,2020-01-25
279,0.0,北京市,41,2,0,石景山,0,0,0,1,0,0,2020-01-25
280,0.0,北京市,41,2,0,顺义,0,0,0,1,0,0,2020-01-25
281,0.0,四川省,28,0,0,成都,9,0,0,16,0,0,2020-01-25
282,0.0,四川省,28,0,0,广安,0,0,0,2,0,0,2020-01-25
283,0.0,四川省,28,0,0,绵阳,0,0,0,2,0,0,2020-01-25
284,0.0,四川省,28,0,0,遂宁,1,0,0,2,0,0,2020-01-25
285,0.0,四川省,28,0,0,达州,0,0,0,1,0,0,2020-01-25
286,0.0,四川省,28,0,0,德阳,0,0,0,1,0,0,2020-01-25
287,0.0,四川省,28,0,0,雅安,0,0,0,1,0,0,2020-01-25
288,0.0,四川省,28,0,0,自贡,1,0,0,1,0,0,2020-01-25
289,0.0,四川省,28,0,0,泸州,1,0,0,1,0,0,2020-01-25
290,0.0,四川省,28,0,0,内江,1,0,0,1,0,0,2020-01-25
291,0.0,贵州省,4,0,0,铜仁,1,0,0,2,0,0,2020-01-25
292,0.0,贵州省,4,0,0,贵阳,0,0,0,1,0,0,2020-01-25
293,0.0,贵州省,4,0,0,黔南州,0,0,0,1,0,0,2020-01-25
294,0.0,河南省,32,0,0,南阳,8,0,0,8,0,0,2020-01-25
295,0.0,河南省,32,0,0,郑州,3,0,0,6,0,0,2020-01-25
296,0.0,河南省,32,0,0,信阳,4,0,0,5,0,0,2020-01-25
297,0.0,河南省,32,0,0,周口,3,0,0,4,0,0,2020-01-25
298,0.0,河南省,32,0,0,巩义,0,0,0,2,0,0,2020-01-25
299,0.0,河南省,32,0,0,驻马店,2,0,0,2,0,0,2020-01-25
300,0.0,河南省,32,0,0,洛阳,0,0,0,1,0,0,2020-01-25
