name,value,date
黑龙江省,464,2020-02-18
河北省,302,2020-02-18
浙江省,1172,2020-02-18
天津市,128,2020-02-18
湖北省,61682,2020-02-19
重庆市,555,2020-02-19
吉林省,90,2020-02-19
广西壮族自治区,244,2020-02-19
福建省,293,2020-02-19
河南省,1262,2020-02-19
四川省,514,2020-02-19
北京市,393,2020-02-19
江西省,934,2020-02-19
陕西省,242,2020-02-19
山西省,131,2020-02-19
江苏省,631,2020-02-19
浙江省,1174,2020-02-19
安徽省,986,2020-02-19
湖南省,1008,2020-02-19
内蒙古自治区,75,2020-02-19
广东省,1331,2020-02-19
山东省,544,2020-02-19
宁夏回族自治区,71,2020-02-19
云南省,173,2020-02-19
黑龙江省,470,2020-02-19
河北省,306,2020-02-19
天津市,130,2020-02-19
陕西省,245,2020-02-20
重庆市,560,2020-02-20
吉林省,91,2020-02-20
广西壮族自治区,245,2020-02-20
海南省,168,2020-02-20
河南省,1265,2020-02-20
四川省,520,2020-02-20
湖北省,62031,2020-02-20
北京市,395,2020-02-20
安徽省,987,2020-02-20
浙江省,1175,2020-02-20
河北省,307,2020-02-20
黑龙江省,476,2020-02-20
天津市,131,2020-02-20
广东省,1332,2020-02-20
湖南省,1010,2020-02-20
山东省,546,2020-02-20
上海市,334,2020-02-20
广西壮族自治区,246,2020-02-21
河南省,1267,2020-02-21
四川省,525,2020-02-21
北京市,396,2020-02-21
湖北省,62662,2020-02-21
安徽省,988,2020-02-21
浙江省,1203,2020-02-21
天津市,132,2020-02-21
黑龙江省,479,2020-02-21
云南省,174,2020-02-21
广东省,1333,2020-02-21
湖南省,1011,2020-02-21
山东省,749,2020-02-21
重庆市,567,2020-02-21
河北省,308,2020-02-21
山西省,132,2020-02-21
